~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"3/4"" BRASS","3/4"" Brass Street 90",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"3/4"" BRASS","3/4"" Brass 45",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"3/4"" BRASS","3/4"" Brass Street 45",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,"3/4"" BRASS","3/4"" Brass Tee",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,THERMOSTATS,T4 Pro Thermostat 1H/1C,,FALSE,~,"3/4"" BRASS","3/4"" Brass Union",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,THERMOSTATS,T4 Pro Thermostat 2H/1C (Heat Pump),,FALSE,~,"3/4"" BRASS","3/4"" Brass Cap",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,THERMOSTATS,T6 Pro Smart Thermostat 2H/1C,,FALSE,~,"3/4"" BRASS","3/4"" Brass Plug",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,THERMOSTATS,T6 Pro Smart Thermostat 3H/2C,,FALSE,~,"3/4"" BRASS","3/4"" x 1/2"" Brass Reducing Coupling",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,THERMOSTATS,MHK2 ,,FALSE,~,"3/4"" BRASS","3/4"" x 1/2"" Brass Reducing Bushing",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,THERMOSTATS,T10+ Pro Smart Thermostat w/ RedLINK 3.0,,FALSE,~,"3/4"" BRASS","3/4"" x Closed Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,THERMOSTATS,T10+ Equipment Interface Module (NEEDED FOR T10+),,FALSE,~,"3/4"" BRASS","3/4"" x 1 1/2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,THERMOSTATS,Honeywell Outdoor ERM,,FALSE,~,"3/4"" BRASS","3/4"" x 2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,THERMOSTATS,Google Nest Thermostat (1 Heat),,FALSE,~,"3/4"" BRASS","3/4"" x 2 1/2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,THERMOSTATS,Google Nest Thermostat (2 Heat),,FALSE,~,"3/4"" BRASS","3/4"" x 3"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,THERMOSTATS,Fast Stat 9000,,FALSE,~,"3/4"" BRASS","3/4"" x 3 1/2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,"3/4"" BRASS","3/4"" x 4"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,ZONE PANELS,Honeywell HZ432K (4-Zone) (3H/2C),,FALSE,~,"3/4"" BRASS","3/4"" x 4 1/2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,ZONE PANELS,Honeywell HZ322K (3-Zone) (2H/2C),,FALSE,~,"3/4"" BRASS","3/4"" x 5"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,ZONE PANELS,Honeywell HZ311K (3-Zone) (1H/1C),,FALSE,~,"3/4"" BRASS","3/4"" x 5 1/2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,"3/4"" BRASS","3/4"" x 6"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,STANDARD LINESETS,"3/8""x5/8""x1/2"" 50' STD BLK FLX",,FALSE,~,"3/4"" BRASS","3/4"" x 8"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,STANDARD LINESETS,"3/8""x3/4""x1/2"" 50' STD BLK FLX",,FALSE,~,"3/4"" BRASS","3/4"" x 10"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,STANDARD LINESETS,"3/8""x7/8""x1/2"" 50' STD BLK FLX",,FALSE,~,"3/4"" BRASS","3/4"" x 12"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,"3/4"" BRASS","3/4"" Brass Run of Nipples",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,DUCTLESS LINESET,"1/4""x3/8""x1/2"" 50' PE MINI BLK FLX",,FALSE,~,~,~,~,~,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,DUCTLESS LINESET,"1/4""x1/2""x1/2"" 50' PE MINI BLK FLX",,FALSE,~,"1"" BRASS","1"" Brass Threaded Ball Valve",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,DUCTLESS LINESET,"3/8""x5/8""x1/2"" 50' PE MINI BLK FLX",,FALSE,~,"1"" BRASS","1"" Brass Coupling",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,"1"" BRASS","1"" Brass 90",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,6.5' Length White Line Hide SD100,,FALSE,~,"1"" BRASS","1"" Brass Street 90",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,6.5' Length White Line Hide SD144,,FALSE,~,"1"" BRASS","1"" Brass 45",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,6.5' Length Brown Line Hide SD100,,FALSE,~,"1"" BRASS","1"" Brass Street 45",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,6.5' Length Brown Line Hide SD144,,FALSE,~,"1"" BRASS","1"" Brass Tee",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,6.5' Length Beige Line Hide SD100,,FALSE,~,"1"" BRASS","1"" Brass Union",,FALSE,~
