Item Name,Estimated Price,Result Type
"14"" Elbows",$120.33,Pricing Guts!A590
"14"" Sticky Collar (ATD)",$114.00,Pricing Guts!A584
"14"" Clinch Collar",$120.33,Pricing Guts!A590
"14"" Top Take Off",$102.31,Pricing Guts!A588
"14"" R-4 Flex",$114.00,Pricing Guts!A584
"14"" R-8 Flex",$3.75,Estimated
"16"" Pipe (Linear Feet)",$28.75,Estimated
"16"" Elbows",$139.45,Pricing Guts!A592
"16"" Sticky Collar (ATD)",$114.00,Pricing Guts!A584
"16"" Clinch Collar",$139.45,Pricing Guts!A592
"16"" Top Take Off",$120.33,Pricing Guts!A590
"16"" R-4 Flex",$114.00,Pricing Guts!A584
"16"" R-8 Flex",$3.75,Estimated
"18"" Pipe (Linear Feet)",$18.75,Estimated
"18"" Elbows",$69.66,Pricing Guts!A582
"18"" Sticky Collar (ATD)",$114.00,Pricing Guts!A584
"18"" Clinch Collar",$69.66,Pricing Guts!A582
"18"" Top Take Off",$139.45,Pricing Guts!A592
"18"" R-4 Flex",$114.00,Pricing Guts!A584
"18"" R-8 Flex",$8.75,Estimated
"20"" Pipe (Linear Feet)",$8.75,Estimated
"20"" Elbows",$8.75,Estimated
"20"" Sticky Collar (ATD)",$8.75,Estimated
"20"" Clinch Collar",$8.75,Estimated
"20"" Top Take Off",$69.66,Pricing Guts!A582
"20"" R-4 Flex",$114.00,Pricing Guts!A584
"20"" R-8 Flex",$28.75,Estimated
"6"" Cap",$28.75,Estimated
"7"" Cap",$28.75,Estimated
"8"" Cap",$28.75,Estimated
"10"" Cap",$8.75,Estimated
"12"" Cap",$18.75,Estimated
"14"" Cap",$18.75,Estimated
"16"" Cap",$18.75,Estimated
"18"" Cap",$18.75,Estimated
"20"" Cap",$17.50,Estimated
"18""X16"" Pipe Reducer",$18.75,Estimated
"18""X14"" Pipe Reducer",$12.45,Estimated
"18""X12"" Pipe Reducer",$8.75,Estimated
"16""X14"" Pipe Reducer",$8.75,Estimated
"16""X12"" Pipe Reducer",$8.75,Estimated
"16""X10 Pipe Reducer",$8.75,Estimated
"14""X12"" Pipe Reducer",$28.75,Estimated
"14""X10"" Pipe Reducer",$8.75,Estimated
"14""X8"" Pipe Reducer",$8.75,Estimated
"12""X10"" Pipe Reducer",$28.75,Estimated
"12""X8"" Pipe Reducer",$12.50,Estimated
"12""X7"" Pipe Reducer",$8.75,Estimated
"10""X8"" Pipe Reducer",$42.75,Estimated
"10""X7"" Pipe Reducer",$12.50,Estimated
"10""X6"" Pipe Reducer",$8.75,Estimated
"4"" Smoke Pipe (Linear Feet)",$45.75,Estimated
"4"" Smoke 90",$12.50,Estimated
"4"" Smoke Tee",$42.75,Estimated
"5"" Smoke Pipe (Linear Feet)",$42.75,Estimated
"5"" Smoke 90",$4.75,Estimated
"5"" Smoke Tee",$7.50,Estimated
"6"" Smoke Pipe (Linear Feet)",$6.75,Estimated
"6"" Smoke 90",$4.75,Estimated
"6"" Smoke Tee",$6.75,Estimated
"7"" Smoke Pipe (Linear Feet)",$6.75,Estimated
"7"" Smoke 90",$6.75,Estimated
"7"" Smoke Tee",$7.50,Estimated
"8"" Smoke Pipe (Linear Feet)",$7.50,Estimated
"8"" Smoke 90",$6.75,Estimated
"8"" Smoke Tee",$89.75,Estimated
"8""x7"" Reducer",$85.00,Estimated
"8""x6"" Reducer",$89.75,Estimated
"8""x5"" Reducer",$32.50,Estimated
"8""x4"" Reducer",$22.50,Estimated
"7""x6"" Reducer",$22.50,Estimated
"7""x5"" Reducer",$22.50,Estimated
"7""x4"" Reducer",$22.50,Estimated
"6""x5"" Reducer",$28.75,Estimated
"6""x4"" Reducer",$22.50,Estimated
"5""x4"" Reducer",$22.50,Estimated
